541,CHAMA,1
542,MIRIAM REGINA FLORENCE DOSNTOS,1
543,SORRIDENTS,10
544,VALECARD,1
545,SUNGUIDER INCORPORADORA E COMÉRCIO EXTERIOR,1
546,SOLUÇÃO INFORMATICA,1
547,PUBLICI ART,1
548,ALL FLAGS VIAGENS E TURISMO,1
549,LOJAS NOSSO LAR,7
550,ELETRO-MOTORES,1
551,NET SERV S/C,1
552,TERRAVERDE CASAS DA LAVOURA,1
553,CAMPHOUSE - COMÉRCIO DE EQUIPAMENTOS,1
554,LOJAS ELETROFÁCIL,2
555,COMERCIAL CUSTÓDIO,1
556,LEAL COBRANÇAS DE TITULOS,1
557,COLÉGIO SÃO JOSÉ,1
558,PNEUS RUAS & AGUIAR,1
559,APPLE,2
560,ELETRO LIM,1
561,HOSPITAL MERIDIONAL,1
562,FORMULA 1 VEICULOS,1
563,ASSEFAZ,2
564,SOCIELA,1
565,PATRONAL GAS,1
566,PLANETA TURISMO,1
567,SOL DE VERÃO,1
568,VCE ELETRONICA,1
569,DOLCI TECNOLOGIA,1
570,RÁPIDO TRANSPAULO,2
571,LIFE SYSTEM,1
572,FENIX ELETRÔNICA,1
573,FIX -MSUNG SERVICE CENTER,3
574,DJ ATLANTIS CORRETORA DE SEG DE VIDA S/S,1
575,ESCOLA MATERNAL INFANTIL UIRANDE,1
576,FUNDAÇÃO HABITACIONAL DO EXÉRCITO,1
577,LITORAL SERV,1
578,INDÚSTRIA DE BATERIAS RAIOM,1
579,VITRINA VIDROS,1
580,PRAETORIUM,2
581,COMETA DESENTUPIDORA,1
582,ASBRASEP (ASSOCIAÇÃO BRASILEIRA DE ASSISTÊNCIA AOS,1
583,RODOLI - CONSTRUCOES, EMPREENDIMENTOS E TRANSPORTES,1
584,DROGARIANTA FE,1
585,ELETROCITY,4
586,SERV-DUTRA PEÇAS E SERVIÇOS,1
587,AUTO ESCOLA SUMARÉ,1
588,APE POUPEX/FINANCIAMENTO IMOBILIARIO,1
589,JP ALBÚNS FOTOGRÁFICOS,1
590,CONCLIMA,1
591,SOFORTE,1
592,SORRIDENTE ASSISTÊNCIA ODONTOLÓGICA,1
593,BRAZIL PROPERTIES S/C,1
594,NELINHO TELEFONES,10
595,MICROLINS,63
596,FOTO COPIMAX,1
597,STARFLEX COLCHOES,1
598,MASTER,2
599,ONDA DAGUA COMERCIO DE PURIFICADORES,1
600,FISIOLAR FISIOTERAPIA E SERVICOS,1
601,NEMAR GRANITOS,1
602,INFNET,1
603,LOCARALPHA,3
604,MUNDO DAS ENGRENAGENS,1
605,DEMAE,1
606,MARTINEZ,1
607,MIRANDA MOVEIS,1
608,ABO,1
609,AUTO ESCOLA GERAÇÃO,1
